index,LocationType,TimeFrame_x,DataFormat_CI,Num of Child Immigrants,Location,Time,Data Type,TimeFrame_UE,DataFormat_UE,Number of Unemployed Parents
0,State,2000-2002,Number,206000,Maryland,January,Percent,2000,Percent,0.037
1,State,2000-2002,Number,206000,Maryland,February,Percent,2000,Percent,0.038
2,State,2000-2002,Number,206000,Maryland,March,Percent,2000,Percent,0.035
3,State,2000-2002,Number,206000,Maryland,April,Percent,2000,Percent,0.032
4,State,2000-2002,Number,206000,Maryland,May,Percent,2000,Percent,0.036
5,State,2000-2002,Number,206000,Maryland,June,Percent,2000,Percent,0.036
6,State,2000-2002,Number,206000,Maryland,July,Percent,2000,Percent,0.038
7,State,2000-2002,Number,206000,Maryland,August,Percent,2000,Percent,0.038
8,State,2000-2002,Number,206000,Maryland,September,Percent,2000,Percent,0.034
9,State,2000-2002,Number,206000,Maryland,October,Percent,2000,Percent,0.033
10,State,2000-2002,Number,206000,Maryland,November,Percent,2000,Percent,0.035
11,State,2000-2002,Number,206000,Maryland,December,Percent,2000,Percent,0.033
12,State,2000-2002,Number,206000,Maryland,January,Percent,2001,Percent,0.041
13,State,2000-2002,Number,206000,Maryland,February,Percent,2001,Percent,0.039
14,State,2000-2002,Number,206000,Maryland,March,Percent,2001,Percent,0.038
15,State,2000-2002,Number,206000,Maryland,April,Percent,2001,Percent,0.037
16,State,2000-2002,Number,206000,Maryland,May,Percent,2001,Percent,0.037
17,State,2000-2002,Number,206000,Maryland,June,Percent,2001,Percent,0.04
18,State,2000-2002,Number,206000,Maryland,July,Percent,2001,Percent,0.042
19,State,2000-2002,Number,206000,Maryland,August,Percent,2001,Percent,0.044
20,State,2000-2002,Number,206000,Maryland,September,Percent,2001,Percent,0.041
21,State,2000-2002,Number,206000,Maryland,October,Percent,2001,Percent,0.041
22,State,2000-2002,Number,206000,Maryland,November,Percent,2001,Percent,0.044
23,State,2000-2002,Number,206000,Maryland,December,Percent,2001,Percent,0.042
24,State,2000-2002,Number,206000,Maryland,January,Percent,2002,Percent,0.051
25,State,2000-2002,Number,206000,Maryland,February,Percent,2002,Percent,0.047
26,State,2000-2002,Number,206000,Maryland,March,Percent,2002,Percent,0.047
27,State,2000-2002,Number,206000,Maryland,April,Percent,2002,Percent,0.045
28,State,2000-2002,Number,206000,Maryland,May,Percent,2002,Percent,0.044
29,State,2000-2002,Number,206000,Maryland,June,Percent,2002,Percent,0.047
30,State,2000-2002,Number,206000,Maryland,July,Percent,2002,Percent,0.047
31,State,2000-2002,Number,206000,Maryland,August,Percent,2002,Percent,0.045
32,State,2000-2002,Number,206000,Maryland,September,Percent,2002,Percent,0.04
33,State,2000-2002,Number,206000,Maryland,October,Percent,2002,Percent,0.04
34,State,2000-2002,Number,206000,Maryland,November,Percent,2002,Percent,0.044
35,State,2000-2002,Number,206000,Maryland,December,Percent,2002,Percent,0.042
36,State,2000-2002,Number,206000,Maryland,January,Percent,2003,Percent,0.048
37,State,2000-2002,Number,206000,Maryland,February,Percent,2003,Percent,0.048
38,State,2000-2002,Number,206000,Maryland,March,Percent,2003,Percent,0.046
39,State,2000-2002,Number,206000,Maryland,April,Percent,2003,Percent,0.043
40,State,2000-2002,Number,206000,Maryland,May,Percent,2003,Percent,0.044
41,State,2000-2002,Number,206000,Maryland,June,Percent,2003,Percent,0.049
42,State,2000-2002,Number,206000,Maryland,July,Percent,2003,Percent,0.048
43,State,2000-2002,Number,206000,Maryland,August,Percent,2003,Percent,0.045
44,State,2000-2002,Number,206000,Maryland,September,Percent,2003,Percent,0.043
45,State,2000-2002,Number,206000,Maryland,October,Percent,2003,Percent,0.042
46,State,2000-2002,Number,206000,Maryland,November,Percent,2003,Percent,0.043
47,State,2000-2002,Number,206000,Maryland,December,Percent,2003,Percent,0.04
48,State,2000-2002,Number,206000,Maryland,January,Percent,2004,Percent,0.047
49,State,2000-2002,Number,206000,Maryland,February,Percent,2004,Percent,0.045
50,State,2000-2002,Number,206000,Maryland,March,Percent,2004,Percent,0.044
51,State,2000-2002,Number,206000,Maryland,April,Percent,2004,Percent,0.04
52,State,2000-2002,Number,206000,Maryland,May,Percent,2004,Percent,0.041
53,State,2000-2002,Number,206000,Maryland,June,Percent,2004,Percent,0.046
54,State,2000-2002,Number,206000,Maryland,July,Percent,2004,Percent,0.046
55,State,2000-2002,Number,206000,Maryland,August,Percent,2004,Percent,0.043
56,State,2000-2002,Number,206000,Maryland,September,Percent,2004,Percent,0.04
57,State,2000-2002,Number,206000,Maryland,October,Percent,2004,Percent,0.041
58,State,2000-2002,Number,206000,Maryland,November,Percent,2004,Percent,0.042
59,State,2000-2002,Number,206000,Maryland,December,Percent,2004,Percent,0.041
60,State,2000-2002,Number,206000,Maryland,January,Percent,2005,Percent,0.046
61,State,2000-2002,Number,206000,Maryland,February,Percent,2005,Percent,0.047
62,State,2000-2002,Number,206000,Maryland,March,Percent,2005,Percent,0.043
63,State,2000-2002,Number,206000,Maryland,April,Percent,2005,Percent,0.039
64,State,2000-2002,Number,206000,Maryland,May,Percent,2005,Percent,0.041
65,State,2000-2002,Number,206000,Maryland,June,Percent,2005,Percent,0.044
66,State,2000-2002,Number,206000,Maryland,July,Percent,2005,Percent,0.044
67,State,2000-2002,Number,206000,Maryland,August,Percent,2005,Percent,0.04
68,State,2000-2002,Number,206000,Maryland,September,Percent,2005,Percent,0.039
69,State,2000-2002,Number,206000,Maryland,October,Percent,2005,Percent,0.039
70,State,2000-2002,Number,206000,Maryland,November,Percent,2005,Percent,0.039
71,State,2000-2002,Number,206000,Maryland,December,Percent,2005,Percent,0.036
72,State,2000-2002,Number,206000,Maryland,January,Percent,2006,Percent,0.04
73,State,2000-2002,Number,206000,Maryland,February,Percent,2006,Percent,0.04
74,State,2000-2002,Number,206000,Maryland,March,Percent,2006,Percent,0.036
75,State,2000-2002,Number,206000,Maryland,April,Percent,2006,Percent,0.035
76,State,2000-2002,Number,206000,Maryland,May,Percent,2006,Percent,0.038
77,State,2000-2002,Number,206000,Maryland,June,Percent,2006,Percent,0.041
78,State,2000-2002,Number,206000,Maryland,July,Percent,2006,Percent,0.043
79,State,2000-2002,Number,206000,Maryland,August,Percent,2006,Percent,0.04
80,State,2000-2002,Number,206000,Maryland,September,Percent,2006,Percent,0.037
81,State,2000-2002,Number,206000,Maryland,October,Percent,2006,Percent,0.036
82,State,2000-2002,Number,206000,Maryland,November,Percent,2006,Percent,0.037
83,State,2000-2002,Number,206000,Maryland,December,Percent,2006,Percent,0.035
84,State,2000-2002,Number,206000,Maryland,January,Percent,2007,Percent,0.041
85,State,2000-2002,Number,206000,Maryland,February,Percent,2007,Percent,0.039
86,State,2000-2002,Number,206000,Maryland,March,Percent,2007,Percent,0.034
87,State,2000-2002,Number,206000,Maryland,April,Percent,2007,Percent,0.032
88,State,2000-2002,Number,206000,Maryland,May,Percent,2007,Percent,0.033
89,State,2000-2002,Number,206000,Maryland,June,Percent,2007,Percent,0.037
90,State,2000-2002,Number,206000,Maryland,July,Percent,2007,Percent,0.037
91,State,2000-2002,Number,206000,Maryland,August,Percent,2007,Percent,0.034
92,State,2000-2002,Number,206000,Maryland,September,Percent,2007,Percent,0.033
93,State,2000-2002,Number,206000,Maryland,October,Percent,2007,Percent,0.033
94,State,2000-2002,Number,206000,Maryland,November,Percent,2007,Percent,0.031
95,State,2000-2002,Number,206000,Maryland,December,Percent,2007,Percent,0.031
96,State,2000-2002,Number,206000,Maryland,January,Percent,2008,Percent,0.036
97,State,2000-2002,Number,206000,Maryland,February,Percent,2008,Percent,0.035
98,State,2000-2002,Number,206000,Maryland,March,Percent,2008,Percent,0.035
99,State,2000-2002,Number,206000,Maryland,April,Percent,2008,Percent,0.033
100,State,2000-2002,Number,206000,Maryland,May,Percent,2008,Percent,0.038
101,State,2000-2002,Number,206000,Maryland,June,Percent,2008,Percent,0.043
102,State,2000-2002,Number,206000,Maryland,July,Percent,2008,Percent,0.044
103,State,2000-2002,Number,206000,Maryland,August,Percent,2008,Percent,0.046
104,State,2000-2002,Number,206000,Maryland,September,Percent,2008,Percent,0.045
105,State,2000-2002,Number,206000,Maryland,October,Percent,2008,Percent,0.048
106,State,2000-2002,Number,206000,Maryland,November,Percent,2008,Percent,0.052
107,State,2000-2002,Number,206000,Maryland,December,Percent,2008,Percent,0.056
108,State,2000-2002,Number,206000,Maryland,January,Percent,2009,Percent,0.067
109,State,2000-2002,Number,206000,Maryland,February,Percent,2009,Percent,0.072
110,State,2000-2002,Number,206000,Maryland,March,Percent,2009,Percent,0.071
111,State,2000-2002,Number,206000,Maryland,April,Percent,2009,Percent,0.068
112,State,2000-2002,Number,206000,Maryland,May,Percent,2009,Percent,0.073
113,State,2000-2002,Number,206000,Maryland,June,Percent,2009,Percent,0.077
114,State,2000-2002,Number,206000,Maryland,July,Percent,2009,Percent,0.076
115,State,2000-2002,Number,206000,Maryland,August,Percent,2009,Percent,0.075
116,State,2000-2002,Number,206000,Maryland,September,Percent,2009,Percent,0.075
117,State,2000-2002,Number,206000,Maryland,October,Percent,2009,Percent,0.076
118,State,2000-2002,Number,206000,Maryland,November,Percent,2009,Percent,0.076
119,State,2000-2002,Number,206000,Maryland,December,Percent,2009,Percent,0.076
120,State,2000-2002,Number,206000,Maryland,January,Percent,2010,Percent,0.081
121,State,2000-2002,Number,206000,Maryland,February,Percent,2010,Percent,0.083
122,State,2000-2002,Number,206000,Maryland,March,Percent,2010,Percent,0.081
123,State,2000-2002,Number,206000,Maryland,April,Percent,2010,Percent,0.073
124,State,2000-2002,Number,206000,Maryland,May,Percent,2010,Percent,0.074
125,State,2000-2002,Number,206000,Maryland,June,Percent,2010,Percent,0.077
126,State,2000-2002,Number,206000,Maryland,July,Percent,2010,Percent,0.078
127,State,2000-2002,Number,206000,Maryland,August,Percent,2010,Percent,0.077
128,State,2000-2002,Number,206000,Maryland,September,Percent,2010,Percent,0.074
129,State,2000-2002,Number,206000,Maryland,October,Percent,2010,Percent,0.073
130,State,2000-2002,Number,206000,Maryland,November,Percent,2010,Percent,0.074
131,State,2000-2002,Number,206000,Maryland,December,Percent,2010,Percent,0.072
